"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"ANLN"	620.8561	191.3791	26.2663	1609.7072	908.8272	186.9891	1559.1966	573.5617	812.2066	857.1957	980.2203	654.7248	109.2584	2336.3189	793.283	454.5455	1202.3973	354.4631	1025.8508	449.7014	123.1701	364.2961	2021.0872	106.8959	666.3967	338.9101	1761.1511	3527.2727	222.5237	308.0423	122.7208	531.0848	167.7966	15.5526	123.6994	626.1413	161.3177	333.3898	482.9932	188.1414	154.8775	55.8318	316.4278
"PDCD4"	2166.9809	1199.4608	8595.3444	2579.2218	1761.177	5565.1466	3572.6057	2115.2701	1507.6901	1490.9952	3063.3708	8585.9709	1796.8934	867.5325	2399.5903	2042.7431	2799.8965	4012.5614	7145.2215	923.2246	1175.3559	7017.5036	7655.9747	927.5649	3982.0602	9248.217	2393.2131	2634.1758	4771.2754	5942.3592	4319.2316	4086.2673	4683.2542	2072.134	1329.0289	4669.1446	954.3837	2635.7174	1609.1752	2273.2155	1575.8946	4671.3565	1323.7652
"SHC1"	4235.6716	2926.9738	1832.4911	4034.0955	3285.9511	3169.9757	2126.8499	5892.4023	2053.9906	5064.7429	2791.8986	3070.6127	2231.6806	1582.6243	2808.3963	4524.3129	2861.9044	2379.0427	2362.6503	3033.073	3184.7552	2619.7388	1698.6879	3277.1445	3124.0718	2409.1778	4612.2856	1870.9091	3318.8602	4075.9868	2545.6469	1423.106	2513.5593	18687.6028	2984.9711	1954.3489	3307.4535	2443.5033	2204.932	2295.325	2531.2067	2813.5741	3103.6384
"TTF1"	192.4573	180.1215	276.0752	234.657	370.0787	316.1816	380.0211	170.8388	213.1455	201.2579	197.0863	297.5078	271.1716	202.4183	224.3493	320.296	216.1334	146.1837	219.0648	275.6086	205.4518	246.7344	354.7329	183.8909	199.271	675.4302	331.5993	395.1515	191.3161	308.0423	169.9568	420.8407	172.8814	281.1425	186.1272	172.5132	220.3794	212.7732	312.0748	302.7366	200.1849	216.6972	327.4531
"SMAD1"	328.1438	234.6319	289.4878	175.2908	834.2312	471.8926	306.0254	281.5108	453.0516	184.6097	382.8023	267.9128	458.9732	188.9834	308.984	378.9641	420.6735	115.1358	436.4488	123.5645	275.1136	161.103	410.0281	603.2517	215.4719	386.2333	246.5966	424.2424	284.9389	215.6751	487.1786	239.114	291.5254	237.4757	317.9191	775.1081	280.7633	252.7528	336.7347	480.6157	376.3292	811.6549	306.505
"STMN1"	2373.5061	889.3497	1155.7156	6681.5082	2533.7754	1981.7448	4406.9767	4875.7137	821.1268	1475.3977	927.6324	1238.837	523.0364	2759.0685	881.9479	1577.167	1721.6144	1913.3247	2238.8311	2212.2186	1005.048	2679.2453	5344.8922	1050.271	1294.9912	2611.3767	7375.3182	11314.5455	3759.8372	1866.9093	688.1629	4428.895	1511.8644	183.6399	809.2486	2432.9649	685.3798	2252.414	2499.1497	2380.8438	1331.0217	445.9566	1794.9283
"RICTOR"	418.7356	478.1514	629.2726	383.0726	653.1289	643.9226	477.2727	452.3496	923.4742	352.2013	883.0984	815.6802	1317.2444	1240.9315	1357.5147	262.1564	883.5799	821.4748	784.3752	376.6651	520.4442	1010.1597	616.6823	461.2222	551.3703	662.5239	396.2369	341.2121	317.5034	625.1848	1032.7074	686.1314	840.678	729.7742	894.7977	703.9885	747.9676	669.4901	1340.9864	551.8814	828.479	922.2717	495.0386
"JUN"	1802.1736	2634.2764	2050.4452	1877.2563	12417.7373	4729.125	6991.5433	2966.1836	2474.6479	3772.845	2193.0593	3996.3655	1791.5753	4228.8401	6425.5248	2627.907	2436.2624	2377.749	1188.8888	1832.7974	2109.5406	4645.8636	5478.4442	3355.6345	6171.4594	3266.2524	3379.3027	5647.2727	382.6323	914.1167	3304.6637	1139.6929	6413.5593	936.1448	3442.7746	1563.6713	3092.3632	1044.2148	4733.8435	1518.8141	4259.362	5209.4565	8607.4972
"EIF4E"	371.2252	516.0717	822.0782	344.5648	421.4671	753.3962	1066.5962	671.9368	881.6901	404.7355	785.5028	827.1028	896.007	442.9019	367.4223	423.3615	430.6106	542.044	843.7637	533.7621	620.8985	844.7025	942.8304	872.3603	1123.8018	568.3556	452.9054	712.1212	578.019	305.3123	1159.5961	323.6849	767.7966	568.2668	597.6879	1058.6257	395.8013	1143.1476	768.7075	705.8153	423.0236	468.9872	442.6681
"CHEK1"	125.218	73.4706	120.713	462.0939	196.0215	47.9372	252.1142	136.144	154.4601	252.3122	143.5509	150.5711	79.8596	411.1061	147.1033	68.7104	166.4476	90.5563	200.0157	274.2306	62.5946	56.6038	347.2352	92.693	99.9055	219.4073	206.7515	693.9394	225.2374	84.632	91.6933	87.0878	93.2203	76.5665	73.9884	276.79	62.5877	159.9187	89.2857	79.8176	79.5192	53.3892	107.4972
"CDH1"	10.871	23.7002	0	0	2.0721	0	2.6427	0	0.4695	0.37	0	2.0768	1.3164	36.2741	0	0.5285	0	9.0556	0	0	0	0	0.4686	0	14.0408	1.912	1.3282	0	2.7137	8.6452	6.4834	1.5102	1.6949	0	0	0.4805	2.2038	0	1.7007	0.5701	13.8696	246.7068	8.8203
"STAT3"	2609.8502	3786.6983	2059.9458	913.3574	4825.5284	1826.7138	3488.9006	1984.6289	3260.5634	1867.5546	3871.6096	5975.0779	2835.0154	5187.6399	5045.1721	4206.6596	3126.8956	2569.2109	2550.9004	1963.2522	2940.4341	1927.4311	1713.2146	2988.6003	2539.2197	3142.4474	2137.0227	2003.0303	778.8331	1742.6914	3104.1425	1315.3788	2888.1356	3419.1715	2375.7225	1080.2499	3897.1886	1794.3419	3687.9252	3339.7948	3703.6523	2379.4818	3175.3032
"ACACA"	1393.5038	2093.3195	977.9992	2931.0068	909.2416	1616.606	1273.7844	1088.274	1651.6432	1207.1772	1072.1308	1013.4995	1351.0312	3643.5289	1605.3736	690.8034	962.2491	763.26	2534.0923	1216.3528	1413.9324	650.2177	990.6279	743.7862	1641.1503	1217.9732	1784.6154	2229.697	649.9322	929.1321	1805.154	974.5784	764.4068	2116.9433	1283.237	463.7194	1038.8683	1203.4559	676.0204	1420.7526	663.8927	1080.3455	386.9901
"WWTR1"	573.6195	51.7968	59.4903	281.9695	219.5441	256.1479	29.0698	267.365	210.1831	295.5346	193.9169	251.8744	168.8635	160.7747	198.1797	61.7495	117.5153	66.4942	87.9285	525.2825	92.3877	17.4165	218.3083	85.8157	80.189	99.675	135.0614	537.6909	130.2578	128.3267	91.3691	146.9721	72.0847	241.9261	83.4798	219.6828	127.3043	290.1169	71.5816	334.7035	274.6833	515.4078	88.4509
"FOXO3"	1068.1784	473.4113	657.7743	222.2222	4468.2967	686.0801	640.0634	375.9332	623.0047	421.3836	643.3732	563.8629	1245.283	614.8679	683.1234	728.3298	331.2389	558.8616	457.1787	413.8723	446.2393	423.8026	622.3055	705.6625	462.8055	656.3098	542.3354	875.7576	861.6011	544.1929	810.4206	351.8752	1813.5593	1816.6592	1564.1618	726.0932	621.4698	452.6512	1237.2449	773.6602	656.4956	1292.8553	1445.9757
"GSK3B"	2869.5467	1071.2487	544.8853	951.4641	852.8802	1532.2909	929.1755	832.6746	1668.5446	1431.0026	921.9472	1654.7248	1131.6367	1000.4478	898.7406	415.9619	882.7518	751.6171	974.3061	1540.1929	1381.1206	606.6763	1880.9747	656.3259	851.6268	1205.5449	1428.2236	792.1212	1432.8358	1215.7889	817.8302	1263.0254	1372.8814	1666.5171	1005.7803	1049.4954	1012.8635	1720.4811	1250.8503	2610.6043	1110.0324	1460.3507	1380.3749
"GSK3A"	1910.0785	3095.8377	1719.0432	2749.6992	1293.8251	3090.7603	3061.3108	3512.0773	1803.2864	1559.3785	1361.6013	1741.9522	2373.4094	2153.605	1209.068	2505.814	1288.5195	2646.8305	1366.4937	2502.5264	2122.6653	2801.1611	2717.4321	2450.3831	1665.9916	2276.7686	3424.0177	2378.1818	2772.0488	2042.0885	1758.8443	2270.8281	2601.6949	1394.9454	2040.4624	2748.6785	2757.3866	1768.5922	2693.0272	2105.4732	2338.4189	1291.4595	2267.3649
"PTK2"	2036.9071	1475.337	1308.2835	1176.0931	1341.0692	3146.517	1372.093	3401.8445	2488.2629	2152.0533	3233.9216	2496.8847	1324.7038	1929.2432	3058.9421	1202.9598	2673.9263	1203.1048	2400.1883	1596.2333	1956.5876	1185.7765	2460.1687	1461.4091	2311.3271	1454.5889	1690.3154	2933.3333	1940.2985	1554.3169	1918.1498	1517.2414	1279.661	2177.9572	1895.9538	1325.8049	1845.8975	1451.4654	1236.3946	1054.732	1601.4794	3126.9301	1952.591
"PARK7"	1424.1037	5949.3408	8410.7932	4556.7589	4220.8869	2773.8987	6104.1226	6675.4502	3829.5775	4231.5945	5131.8252	1983.3853	3630.1009	2804.2991	4077.246	5664.3763	7331.1458	6267.7878	4736.5059	4526.4125	4440.6865	6280.1161	4592.3149	3695.0103	5738.8956	3064.5315	7036.6353	4730.9091	8104.4776	6826.9821	6205.0434	5108.4823	4838.9831	5640.7956	6638.1503	2972.6093	4055.421	3700.4913	4261.0544	3071.8358	3642.1637	3019.1049	2312.5689
"TGM2"	5660.9832	904.1623	5784.1668	1540.714	901.782	813.5727	667.5476	739.5696	4563.3803	2236.774	4310.79	43615.2648	1028.9601	7918.0475	5638.9589	3198.203	9341.7661	1578.2665	358.5715	2248.5071	2603.2307	715.5298	428.3037	37244.6272	539.4897	1209.847	962.4792	4663.6364	318.8602	1345.922	1161.4485	2171.6587	6364.4068	2753.4021	1376.8786	715.0408	7993.6002	378.1128	1166.6667	423.6032	7533.5183	4772.5726	4773.4289
"BCL2"	59.1867	8.8876	66.5039	53.7505	314.9606	104.7139	60.2537	65.437	75.5869	48.0947	34.5849	196.2617	41.6849	28.661	26.1965	61.8393	74.5288	59.5084	67.7924	17.4552	37.8597	44.9927	28.1162	6.7277	18.901	97.0363	74.8201	185.4545	213.0258	37.7659	42.605	37.7548	225.4237	9.5708	129.4798	35.5598	83.7442	31.1706	18.7075	47.3204	151.1789	990.3167	42.4476
"PRRT2"	66.8366	78.2106	2.2354	14.0393	211.7696	17.339	34.8837	26.3505	42.2535	77.3215	72.0123	41.5369	95.2172	15.674	45.0042	7.9281	60.4511	54.3338	45.3817	28.9389	109.5406	39.1872	122.3055	220.5195	30.7817	12.4283	211.1787	46.0606	120.7598	39.1309	5.5572	76.5165	35.5932	150.1421	69.3642	75.925	117.6826	60.9859	1953.2313	200.6842	72.5844	30.0096	64.4983
"RAB11B"	1636.6925	2537.1056	2637.8036	2105.4954	3326.5644	3165.5559	2895.8774	3723.3202	2733.3333	1538.6607	2490.5839	3671.8588	2269.8552	1985.1948	2186.398	3483.055	1619.7087	2917.2057	1999.0363	3383.9734	2313.9828	2686.5022	3122.7741	2356.1951	1923.0026	1992.8298	2782.9552	2442.4242	2556.3094	2535.7752	1831.0041	3996.9796	4427.1186	1497.8316	2833.526	2153.7722	2401.6722	2332.3734	3271.2585	3399.6579	2484.0499	2343.1911	2878.1533
"RAB11A"	3924.0357	7361.8723	2566.2699	7095.0662	2143.8044	8290.4179	10323.9958	5413.2631	4636.1502	7122.0866	3511.548	4215.4725	10953.0496	7095.3874	5357.5147	9607.2939	4995.0832	6432.0828	6058.1782	4698.2085	6153.4578	6561.6836	6977.0384	7639.6935	11399.487	4307.8394	7571.0017	4512.1212	3507.4627	6311.9099	6413.4372	3228.7944	4311.8644	4225.5122	6086.7052	9971.6482	3511.5247	6076.91	4772.9592	4685.8609	2959.7781	2397.9761	3975.1929
"ETS1"	1218.7622	268.4047	1149.0094	938.6282	2765.0228	1271.5261	489.9577	473.8691	806.1033	380.6881	939.0027	1119.4185	626.1518	493.5065	871.8724	75.0529	1441.7175	279.4308	472.8662	201.6537	368.5008	357.0392	368.791	164.4552	319.6976	264.8184	573.7687	1339.3939	289.0095	263.4513	679.364	425.8747	1196.6102	192.6125	673.9884	351.2734	1349.6032	1050.3134	121.5986	474.3444	1604.2534	2328.1863	1329.6582
"ACACB"	1782.0421	2263.9609	1472.0285	4442.4388	1076.2536	1978.345	1617.3362	1584.9802	1446.4789	2479.4673	1574.7957	1084.6314	2126.81	571.4286	888.665	2098.8372	824.785	1280.7245	1632.621	3003.6748	975.7698	1239.4775	535.6139	1681.9286	1684.3526	703.1549	2284.4494	653.3333	991.8589	1250.3697	1716.2393	2163.6043	961.0169	876.9254	1166.474	3074.0029	2323.2392	3367.7791	1130.9524	1829.5325	1856.2182	3671.6392	673.6494
"CDK1"	701.3821	151.0887	28.5017	2579.2218	719.4364	317.2016	1109.9366	1700.4831	307.9812	889.0122	396.5415	313.6033	111.4524	1688.3117	453.4005	961.4165	500.9989	320.8279	902.5918	609.5544	222.6148	791.0015	1969.0722	152.4949	463.8855	349.9044	2608.5224	2891.5152	1522.3881	490.5016	40.2895	1468.9152	120.339	32.8997	161.8497	875.0601	90.3555	600.3727	1155.6122	273.6602	70.2728	40.4781	217.1996
"MS4A1"	2.8184	0.5925	0	4.4124	0	0.68	1.0571	0.8783	2.8169	2.2198	1.4213	3.1153	0.8776	0.8957	1.3434	0.5285	3.3124	0	17.9286	0.4593	1.5144	0	0	0	1.0801	0	0.8854	0	0	0.455	4.1679	1.0068	11.8644	3.5891	19.6532	0.4805	2.2038	10.1643	0	0	19.8798	2.7916	0
"EEF2K"	698.1611	3067.9899	428.6431	923.7866	740.9863	656.1618	1605.7082	285.4633	2244.1315	908.6201	1442.1414	1225.8567	1768.7582	327.8101	1239.2947	817.6533	1358.0796	1758.0854	1669.0385	470.3721	708.733	2004.3541	2129.3346	1779.1067	1805.8593	1935.4685	1271.4997	1029.697	791.0448	1214.4238	643.7055	819.5318	1255.9322	529.3854	673.9884	2628.0634	1868.817	2499.0683	1393.7075	1102.6226	1618.123	717.4387	826.3506
"LCK"	28.1841	8.8876	30.1783	5.2146	213.0128	16.3191	8.9852	5.7093	43.662	8.879	10.4228	66.459	3.9491	14.7783	25.5248	7.9281	37.2644	12.9366	12.8862	3.6748	5.5528	10.1597	13.1209	2.9901	4.8603	6.2141	11.0681	17.5758	5.4274	30.9407	42.605	65.9451	140.678	3.5891	71.6763	3.3638	54.2133	6.0986	3.4014	4.561	130.3745	38.0354	68.3572
"KEAP1"	1585.1558	3063.2499	2176.188	2773.3654	2554.9109	2271.4079	3019.0275	2336.8467	2765.7277	2740.6585	2147.5779	2092.9387	2230.803	1481.4151	1647.0193	3087.2093	1787.8622	2808.5382	2188.9672	2433.6243	2334.6795	2925.9797	2910.9653	2359.9327	3652.7609	2916.826	3012.7283	1807.8788	2192.673	2518.9398	2526.6599	2727.9134	2769.4915	2296.396	2542.1965	3581.9318	3267.7852	2122.9883	2834.1837	2870.5815	2965.7883	1885.7193	3261.8523
"E2F1"	359.5489	417.7159	313.5186	1035.7	936.179	531.7291	964.5877	683.3553	614.554	1695.8935	1233.2109	276.7394	581.3953	1204.6574	1004.1982	734.6723	1118.7595	558.8616	2555.3825	806.1553	197.3751	1031.9303	962.9803	344.6085	329.4181	758.1262	1430.8799	1572.1212	944.3691	541.9179	698.8141	1167.8832	691.5254	363.0926	253.1792	459.8751	426.6544	733.1865	702.381	732.041	420.712	92.1225	409.5921
"XRCC1"	725.9426	828.9142	734.3377	1186.1211	556.5686	1560.5093	1308.1395	1453.6671	1254.4601	754.347	809.6648	1086.189	877.5779	652.0376	807.3887	689.7463	1053.3398	1042.6908	947.4132	832.7974	914.1848	1560.2322	1166.3543	978.5087	1074.6591	1903.4417	2037.4101	1243.6364	1804.6133	1207.1437	425.1235	1136.1691	1220.339	363.6907	1163.0058	1470.9274	1235.4467	765.0347	1691.3265	1052.4515	947.2954	448.7481	1484.0132
"CTNNA1"	11784.5887	8494.149	13313.0841	10603.6903	7289.6809	7433.6677	10654.334	9071.1462	15256.338	4365.5198	12765.6046	18981.3084	16629.6621	11358.7103	24033.5852	6198.203	22229.4451	13724.4502	18037.8293	12422.5999	6438.1625	12760.5225	11358.0131	12163.7077	12076.1442	5814.5315	11042.8334	5615.1515	5077.3406	7483.1077	14640.3643	10802.9197	9401.6949	11931.2098	10781.5029	10046.6122	18365.9752	13341.6907	9486.3946	15687.0011	12698.5668	6810.0846	20329.6582
"NFKB1"	580.9956	362.6129	643.2441	403.5299	925.4041	730.9575	503.1712	772.9469	1068.5446	389.9371	848.5136	1061.7861	849.4954	446.4845	748.9505	579.8097	508.4518	254.8512	1340.1611	349.5636	586.0676	298.984	634.0206	577.0884	790.6035	1056.8834	312.5623	458.1818	147.8969	317.1425	772.9097	265.7941	528.8136	788.9936	519.0751	996.1557	669.5125	498.7295	281.4626	921.3227	846.9718	1609.3518	690.1874
"RAD50"	1223.5937	1496.0747	1491.0297	1294.4244	561.5416	1118.8749	1023.2558	509.8814	2253.0516	782.094	2330.4513	3245.0675	3055.2874	1742.9467	2686.8178	1082.981	1321.6434	1767.141	2017.5252	1006.8902	924.7855	1316.4006	2063.2615	2123.7152	1479.6814	868.0688	1171.0017	919.3939	347.3541	922.3069	2037.629	1943.6194	1006.7797	3581.8753	1263.5838	2224.4113	3107.349	2860.9182	903.0612	3559.8632	2432.7323	1257.9604	1826.9019
"MYC"	712.6558	316.3976	454.9093	658.2431	3859.9254	1011.7812	293.8689	566.0957	258.6854	874.2138	216.9845	205.0883	353.2251	332.7362	237.1117	2112.0507	313.8489	98.3182	269.4889	480.0184	913.68	124.8186	919.8688	419.3609	450.3848	183.0784	958.052	1207.2727	93.6228	381.7541	301.0134	963.0003	189.8305	800.3589	139.8844	360.8842	346.8771	272.4039	316.3265	675.0285	348.5899	242.1705	562.2933
"IRS1"	958.6629	1804.7697	980.7935	1395.9085	920.431	252.2653	492.6004	295.1252	812.6761	3320.0148	625.3701	684.3198	1045.6341	502.9109	202.8547	593.0233	225.2425	504.5278	616.8551	112.9995	1041.898	236.5747	1298.0319	676.5091	347.7791	34.8948	776.9784	824.2424	390.7734	1637.5839	425.5866	902.5925	123.7288	2523.1045	268.2081	847.1889	1190.0485	829.4088	960.034	435.5758	2123.902	1235.2787	292.172
"VHL"	1066.5679	70.5081	373.8751	447.2523	427.6834	520.1698	396.9345	386.4734	642.2535	616.3522	445.8131	676.5317	434.4011	538.7371	497.0613	783.2981	503.4832	247.0893	800.0628	447.864	809.1873	251.0885	448.4536	370.0243	307.2769	456.501	504.2612	806.0606	305.2917	495.5068	699.7403	837.6542	544.0678	472.5587	291.3295	571.8405	479.9862	427.5792	661.5646	410.4903	429.0337	926.459	655.4576
"CCND1"	14803.3382	1897.6211	297.3118	6586.3578	2301.6826	10988.4806	908.24	14698.6825	3473.7512	5063.263	9733.9808	5895.3167	2594.0325	10786.9951	3865.6591	2315.4598	4237.3741	2927.555	4186.7317	13894.1663	2726.6936	1817.2279	937.6757	3798.1686	1585.0358	1664.6654	2792.332	580.6061	20906.9607	7778.4097	2179.7999	2869.8314	3651.8305	1564.8273	1195.8266	2628.5824	3633.1477	5735.3888	3913.2653	6491.4481	3505.9223	542.1582	1751.0364
"CAV1"	695.7453	256.5546	2229.2793	1192.9402	3676.7509	1507.1324	508.4567	510.7598	782.1596	155.7529	1339.8081	438.2139	582.2729	1118.6744	572.9639	338.2664	1066.5894	595.0841	427.4845	244.8323	514.3867	645.8636	839.269	174.1731	1108.681	1152.4857	614.4992	1076.3636	626.8657	341.7131	556.1801	611.6285	864.4068	303.275	788.4393	590.5815	2878.1545	462.8155	353.7415	422.4629	3001.387	837.826	1043.5502
"PIK3R1"	974.7682	1625.2407	2770.8115	418.3714	2203.8956	1039.9995	1665.4334	1061.4844	4553.9906	689.9741	9909.274	3986.5005	17260.2018	865.2038	3453.9043	369.9789	3149.2542	2023.2859	3200.251	111.6215	291.7718	9955.0073	6435.8013	3724.1637	3741.8658	3635.7553	1080.6862	839.3939	343.2836	1697.1903	1206.8321	463.1261	1850.8475	7447.884	1493.6416	838.5392	4194.26	2562.7647	16079.932	2478.3352	3198.798	1385.3267	995.0386
"AR"	174.7416	78.8031	0	0	27.7663	8.8395	0	0	308.9202	10.3589	196.6126	31.1526	86.4414	0.8957	178.0017	1.0571	7.4529	5.1746	115.4152	0	1.5144	7.2569	97.4695	82.2276	3.2402	0	7.969	1.2121	2.7137	0	1.3893	5.5374	30.5085	2.9909	2.3121	2.4027	59.9432	30.493	99.4898	99.7719	135.46	12.9111	0.5513
"PRDX1"	2910.615	4548.067	10948.5614	3446.8512	7441.3593	5198.2977	4992.0719	5884.9363	3858.216	6218.276	5488.0966	4263.7591	3322.5099	2819.0775	4482.9555	97.7801	3612.9887	3711.5136	4542.6532	4698.2085	5154.4674	4271.4078	4222.1181	4969.5384	5651.9509	4359.9426	3405.8661	5066.0606	5411.1262	7411.216	5064.4342	6207.9033	5186.4407	2585.913	4648.5549	1830.37	3653.0083	5271.218	2758.5034	5715.5074	4547.8502	3083.6605	3247.5193
"NCOA3"	1598.8453	676.6405	611.9481	665.0622	1535.0186	764.9555	599.8943	613.0874	1386.8545	741.0285	1828.7339	1451.7134	1389.6446	1100.7613	1860.6213	665.9619	1534.4644	923.674	1254.4401	431.3275	738.0111	1053.701	606.8416	598.0191	542.1898	1357.0746	745.5451	1309.0909	305.2917	653.8505	616.8459	1057.1357	1206.7797	1832.8099	923.6994	487.2657	1696.0396	628.1552	1022.9592	862.0296	1246.8793	1122.2193	1323.5943
"XBP1"	2652.9316	2736.1872	3125.6855	956.6787	3585.9925	1273.9059	2801.2685	1064.5586	981.6901	3743.9882	4100.4382	1464.1745	2567.7929	793.9991	4936.356	3562.8964	3072.2411	2967.6585	4009.278	1132.7515	1581.0197	1725.6894	2571.2277	2535.6008	2852.9769	980.4015	1431.7654	2981.8182	664.8575	705.2668	2886.0236	2414.2965	2386.4407	2847.3157	1232.3699	2189.8126	3971.2361	1504.3198	1351.1905	104.333	2337.4942	4087.5861	2492.2822
"BCL2L1"	3631.3234	1555.3251	2135.9503	1317.2884	3755.9055	3446.7196	1798.0973	960.0351	2636.1502	1519.7928	3448.5372	5415.8879	3428.6968	3466.6368	4337.1956	5219.8732	3728.0942	5327.2962	2638.8624	4040.4226	4927.3094	4812.7721	1954.0769	7709.9608	2520.3186	2060.7075	1953.2928	988.4848	750.3392	3691.5027	2437.2821	3876.6675	3793.2203	2157.6193	2197.6879	2122.5372	5159.9624	2459.7662	2918.3673	9155.0741	5899.2141	1270.1736	2371.0033
"TP63"	2.0132	20.1452	0	0.8022	39.3701	0.34	3.6998	0.8783	1.8779	2.5897	1.4213	0.5192	5.2655	0	0	1.0571	1.6562	1.2937	1.1205	0	3.0288	1.4514	11.2465	1.495	4.8603	0.478	2.2136	132.7273	1.3569	23.6606	13.4298	0.5034	5.0847	1.1964	0	2.8832	1.3223	0.6776	0.8503	7.9818	3.2362	0.6979	2.2051
"GAPDH"	45122.7872	270999.0698	45653.0031	104986.3618	105804.3929	80223.435	188807.0825	145668.4234	106458.6854	106029.2268	173910.2215	77861.3707	124524.7916	80824.0036	205705.4576	93232.5581	102341.2382	182532.9884	104905.1466	167814.4235	88922.7663	122904.209	52048.7348	162029.5272	271780.7479	72369.0249	239184.062	89295.7576	90778.6839	47254.2373	83042.6432	96902.0891	88027.1186	42285.6288	127225.4335	101296.4921	118470.6554	97165.5091	235933.682	89279.9316	99021.7291	19331.4141	70254.6858
"TYMS"	254.1121	282.8973	19.152	1342.0899	1995.7397	242.1611	501.3636	676.6403	230.9812	732.0681	146.7346	200.9138	146.2484	1338.1863	783.3014	1209.2548	485.9689	237.6455	794.9195	443.8218	377.9909	213.6284	1034.6813	175.1822	491.2218	308.5373	1015.8406	4059.8909	327.3948	323.2988	79.0044	426.3932	107	27.5819	77.4913	401.3119	94.8381	290.3066	290.7228	303.6203	133.6015	222.3292	146.2514
"MSH6"	1744.5975	1479.4845	2532.1797	2758.5239	1382.097	2152.4148	1544.926	1499.7804	1038.0282	1886.7925	999.6447	947.0405	1280.3861	2439.3193	1562.3846	2295.4545	1035.9498	1191.4618	367.5358	2019.2926	1771.3276	754.717	2169.6345	1272.2856	1494.2622	1937.8585	2151.1898	3961.8182	2282.2252	994.1986	2039.4814	1068.7138	589.8305	1200.5384	593.0636	3317.6358	1068.8399	1804.5062	604.5918	1885.4048	781.7846	1168.6295	656.0088
"KIT"	142.1285	1194.4897	39.12	467.3085	20.3067	221.3271	358.351	46.1133	55.8685	23.6774	61.5895	1097.6116	174.1992	750.112	95.382	1431.2896	120.0741	664.9418	206.7389	74.8737	39.3741	75.4717	344.4236	317.6976	777.1027	302.5813	164.6929	2146.0606	13.5685	704.8117	519.1323	51.85	561.0169	64.603	93.6416	134.5507	178.948	1337.6249	125	647.0924	1435.0439	204.8329	104.1896
"CCNB1"	339.0148	407.6433	81.5931	3091.4561	697.0576	771.0752	1826.6385	1409.3105	632.8638	2081.391	649.5322	399.2731	342.2554	2052.3959	439.9664	671.2474	1141.9462	750.3234	981.5896	1149.7474	391.7214	1121.9158	2951.7338	586.0587	1251.2488	614.7228	3424.4604	3418.7879	1348.711	732.1124	327.4099	1480.9967	342.3729	86.1373	322.5434	1481.9798	370.6781	1193.2915	1019.5578	729.1904	343.9667	98.4036	266.2624
"BRAF"	248.8256	78.8031	40.7965	60.1685	65.0642	91.4547	96.723	43.0391	151.1737	82.8709	90.4892	274.6625	139.5349	81.0569	57.0949	15.3277	43.0611	73.7387	28.0134	50.0689	10.6007	49.3469	129.3346	16.4455	136.6275	32.0268	69.0647	84.8485	14.9254	46.8661	123.1839	76.5165	81.3559	85.5391	33.526	160.4998	169.2513	143.6558	23.8095	160.7754	162.7369	150.3969	130.6505
