"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"AKT3"	678.8348	250.037	357.6683	108.3032	586.8214	1352.1014	171.2474	1088.274	675.1174	453.9401	613.526	797.5078	754.717	976.2651	491.6877	244.7146	481.9527	465.718	283.4956	1252.6412	327.6123	503.6284	354.7329	861.1474	217.632	64.0535	343.1101	230.303	42.0624	343.0781	713.6332	532.0916	445.7627	1491.8499	658.9595	1302.2585	706.5362	823.9878	534.0136	587.7993	837.7254	1212.946	386.4388
"AKT1"	3627.2971	13148.2743	1558.6513	2338.5479	4829.6726	5299.6118	3307.611	9470.7949	5661.0329	3958.9345	5272.0597	2907.5805	7397.5428	1824.4514	5174.8111	8891.1205	4171.1263	2243.2083	5494.5486	1991.2724	5421.5043	4114.6589	6367.3852	3657.6341	7637.6401	8100.3824	2559.8229	2782.4242	9333.7856	4585.5989	5213.0885	3238.3589	4218.6441	3756.5425	5058.9595	2506.4873	4585.6537	7667.9654	5064.6259	6077.5371	4931.1142	3352.351	2500.5513
"CDH2"	31.0025	1537.55	3.912	16.0449	1184.0033	678.9405	42.8118	664.0316	41.3146	2519.7928	11.8441	12.9803	68.4511	9556.2024	20.8228	9678.1184	23.1867	6.4683	102.529	7902.6183	3504.2908	14.5138	1260.5436	3880.3962	46.4426	2.8681	802.2136	47.8788	487.1099	3788.42	181.9973	1077.2716	111.8644	5521.1605	201.1561	51.8981	985.5365	8.1315	551.8707	1415.0513	7.8595	748.1462	28.1147
"RAD51"	57.9788	15.9976	7.824	279.1817	286.3655	38.0778	352.0085	57.971	53.0516	116.5372	53.0617	28.5566	19.7455	307.21	110.1595	99.8943	58.7949	21.9922	170.8817	95.5443	34.8309	50.7983	173.8519	18.6881	93.4251	112.8107	187.2717	386.6667	37.9919	41.406	14.356	74.5029	10.1695	2.9909	11.5607	47.5733	12.3412	33.8811	45.068	21.6648	12.4827	19.5411	18.1918
"MET"	173.5337	184.8615	65.3862	58.1629	61.3344	228.1267	56.5539	49.1875	1745.5399	55.4939	535.3547	161.9938	125.9324	982.5347	147.1033	275.37	172.2442	196.6365	193.8527	9.6463	33.8213	204.6444	119.4939	86.7128	157.6887	71.7017	90.7582	27.2727	62.4152	56.4213	351.491	164.1077	491.5254	23.927	1094.7977	138.8755	2506.1541	126.7152	426.0204	175.0285	362.9219	607.5198	199.0077
"NRAS"	1126.5598	450.3037	871.8164	968.3113	1340.6548	733.3374	804.4397	988.5815	901.4085	320.3848	487.9782	781.9315	378.6749	1768.4729	693.8707	298.6258	594.5739	393.273	644.8685	604.0423	589.0964	317.852	1120.8997	438.049	659.3763	532.5048	517.1002	1770.303	1070.5563	391.3093	490.4202	566.8261	520.339	146.553	431.2139	298.8948	536.8441	510.9266	347.7891	281.0718	524.2718	1115.5893	428.8864
"TP53"	165.4811	956.3028	492.3527	706.779	738.9142	1116.8351	1039.6406	290.2942	496.2441	1073.6219	709.2266	648.4943	761.7376	270.0403	667.0025	780.6554	900.9699	609.3144	705.9377	579.2375	1687.0268	959.3614	254.4517	911.2315	925.6109	500.478	2833.4256	1482.4242	1313.4328	1118.4166	953.9808	195.3184	527.1186	680.1256	492.4855	1357.5204	847.1383	892.4276	754.2517	1363.74	620.8969	890.8663	683.5722
"CLDN7"	28.1841	18.9602	37.4434	22.864	39.3701	7.8195	6.871	30.303	22.5352	7.7691	8.054	29.595	6.5818	7.1652	6.0453	2.6427	1.6562	1.2937	2.2411	59.2559	152.4483	2.9028	24.836	2.9901	2.1601	111.3767	5.3127	53.3333	14.9254	101.0124	6.0203	19.6325	49.1525	19.7398	34.6821	0	15.4266	6.7762	0.8503	4.561	21.2668	19.5411	36.3837
"IGF1R"	4073.4116	428.9735	2685.8653	2087.0437	909.656	202.2882	1205.6025	2157.2244	1841.3146	1980.0222	1854.3172	694.704	3301.0092	2072.1003	1466.3308	1490.4863	2118.273	972.8331	1061.1477	1304.5475	88.844	1985.4862	490.1593	756.4941	698.2584	1403.4417	1583.6193	227.2727	348.711	1283.1305	1610.6531	908.1299	657.6271	2258.7109	798.8439	1308.025	1406.4611	402.5072	550.1701	1146.5222	779.9353	2404.2572	1249.1731
"RBM15"	117.5681	104.8734	54.2091	117.128	98.218	96.5544	202.9598	162.9337	102.3474	113.9475	105.1759	129.2835	100.0439	138.3789	112.8463	88.7949	65.4197	71.1514	120.4576	101.0565	123.6749	91.4369	140.5904	123.3414	122.5867	110.8987	144.3276	131.5152	188.6024	100.1024	95.3981	118.2985	54.2373	62.8084	84.3931	161.4608	104.9006	94.867	68.0272	103.7628	119.7411	102.9399	51.2679
