"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-mir-1270-1"	6	1	0	51	4	0	27	4	4	5	5	5	2	3	12	0	1	9	2	0	0	11	15	0	0	0	4	41	22	4	3	14	1	2	2	6	6	5	6	47	4	17	33
"hsa-mir-1270-2"	1	0	4	53	1	0	30	8	7	5	0	3	3	0	5	0	1	10	4	0	1	6	13	1	1	1	3	36	32	4	2	10	1	1	2	6	4	1	8	61	5	13	39
"hsa-mir-1271"	45	29	12	4	19	5	4	2	4	10	2	13	8	2	7	3	2	8	5	5	1	1	1	8	1	1	10	7	10	14	1	5	6	0	3	9	4	1	0	5	4	13	6
"hsa-mir-1274b"	5	0	5	10	4	0	8	1	1	1	0	3	5	3	1	7	0	1	3	2	3	5	2	2	5	0	3	6	1	1	2	5	1	3	1	4	3	7	1	3	1	8	5
"hsa-mir-1277"	19	11	10	7	21	3	24	11	19	7	14	13	12	17	14	17	11	13	21	6	14	19	21	10	21	14	8	11	16	9	7	1	28	5	23	31	5	7	4	10	6	12	31
"hsa-mir-128-1"	462	432	162	579	189	522	540	810	252	365	195	327	365	312	5222	593	283	857	433	320	238	381	294	242	391	652	427	678	866	262	699	139	428	235	377	662	250	337	342	176	345	670	415
"hsa-mir-128-2"	304	305	115	432	102	383	407	598	175	279	131	182	244	241	2888	472	143	520	291	273	165	249	166	168	308	472	251	544	593	136	464	69	242	135	203	584	132	261	188	117	220	419	249
"hsa-mir-1287"	262	41	384	24	47	14	37	91	26	25	25	39	18	24	246	38	199	7	89	6	246	19	73	15	23	500	16	123	264	118	134	39	53	48	332	17	16	24	35	23	66	470	39
"hsa-mir-129-1"	22	66	1	6	7	22	1381	17	10	1	17	21	5	93	0	84	6	135	28	3	3	55	6	26	66	22	34	9	60	20	281	45	3	11	0	442	1	3	3	22	60	2	32
"hsa-mir-129-2"	37	50	0	12	10	25	1203	21	6	0	13	27	2	90	2	92	12	186	17	4	0	56	3	18	63	31	45	4	40	23	221	37	3	23	0	345	1	1	1	17	97	2	40
"hsa-mir-1291"	18	3	1	0	1	3	8	6	12	7	4	3	3	21	7	24	10	10	24	4	7	6	2	14	9	3	1	94	1	10	14	9	36	4	15	16	2	1	3	9	11	2	10
"hsa-mir-1292"	1	2	1	1	3	5	2	3	0	3	5	5	1	6	0	3	6	3	3	6	0	0	0	6	2	7	6	5	9	4	0	0	3	2	1	2	3	2	3	3	2	1	4
"hsa-mir-1293"	3	170	3	54	1	0	27	17	30	155	9	9	120	105	11	25	8	22	4	131	162	33	19	122	17	2	3	3	2	0	25	1	3	23	57	10	23	115	55	42	8	0	44
"hsa-mir-1296"	29	3	4	30	39	20	49	16	4	7	3	4	8	24	6	13	8	15	14	7	7	14	9	16	3	28	22	61	98	7	7	4	17	3	4	24	5	10	18	15	13	8	12
"hsa-mir-1301"	25	87	51	131	197	230	166	409	139	115	41	69	46	372	92	284	68	171	126	164	105	65	100	152	102	300	452	485	929	88	43	52	137	48	195	473	66	172	195	99	143	171	91
"hsa-mir-1304"	0	0	0	3	1	1	0	5	0	0	0	1	2	3	9	1	2	2	6	1	1	1	0	2	0	3	2	12	1	0	1	3	3	0	3	2	1	2	2	0	2	3	6
"hsa-mir-1305"	3	1	4	0	9	21	17	3	1	0	0	4	1	1	6	21	0	9	13	0	3	9	5	6	0	0	4	16	23	2	3	1	1	2	15	6	3	0	0	1	0	1	0
"hsa-mir-1306"	80	33	18	31	47	18	129	53	39	54	60	30	9	125	52	57	45	68	85	28	80	62	40	29	46	23	69	59	131	31	33	14	45	29	45	72	23	31	71	27	36	22	34
"hsa-mir-1307"	23074	6989	7127	18582	9372	17146	15885	23074	8480	5996	7729	6319	6290	12732	8546	10990	6172	10195	12205	14820	11068	10046	6392	4803	6966	13476	20441	13771	23185	10100	4317	4282	5436	9177	10533	15943	3051	6982	9940	4195	5278	15472	8811
"hsa-mir-130a"	567	260	45	539	489	169	513	292	54	488	40	118	96	154	159	1300	169	138	237	136	587	141	284	308	158	1048	365	270	1792	370	123	82	35	165	43	473	49	281	53	232	47	305	152
"hsa-mir-130b"	217	40	24	103	130	24	196	43	28	140	24	79	21	64	26	105	34	44	66	32	100	61	75	65	58	55	147	162	118	27	22	35	26	27	29	113	13	47	35	35	20	18	48
"hsa-mir-132"	724	1071	142	650	1073	593	1510	650	699	612	118	453	822	528	569	645	399	688	1341	516	230	883	721	579	966	217	872	793	601	452	555	388	489	734	509	2090	465	419	633	977	499	914	500
"hsa-mir-133a-1"	38	5	5	7	5	10	88	1	3	4	5	16	3	4	2	21	6	4	7	6	20	3	4	11	5	6	19	4	9	10	5	13	4	5	10	29	16	1	2	24	12	30	11
